name,age,street,city,state,zip,lng,lat
Amy Nelson,55,"USCGC Lewis
FPO AP 76376",East John,Ohio,27211,103.398258,54.212760
Debra Wells,21,"Unit 2352 Box 1296
DPO AE 14241",Mooreland,Hawaii,79928,-164.341186,4.694698
Ann Sutton,52,"174 Gonzalez Terrace Suite 918
Lake Kristie, UT 81685",Adamstown,Massachusetts,54780,100.837588,-32.980688
Margaret Sims,43,"20969 Wolfe Locks
North April, IL 23860",New William,Maine,46069,-0.000089,50.6540735
Dr. Rebecca Jones MD,59,"39066 Tara Expressway Apt. 946
Lake Katie, FL 36346",Cynthiaberg,Alaska,68537,-134.311270,80.2322665
Vanessa Salazar,31,"PSC 8178, Box 2594
APO AA 06493",West Tamarachester,South Carolina,94448,-34.987750,-72.091767
Jonathan Johnson,56,"11296 Kathryn Lodge Suite 738
South Josephborough, LA 49863",Jorgeville,Hawaii,23231,79.980829,67.1732505
Steven Wright,38,"9344 Thomas Islands
Jameston, MD 97089",Joshuabury,Alaska,17695,-68.468487,49.3388625
Brenda Gonzalez DDS,30,"027 Solis Groves
Smithmouth, UT 83649",Justintown,North Carolina,99684,-110.311030,0.1753875
Erin Washington,21,"PSC 2475, Box 3213
APO AP 68743",Tammyport,Mississippi,97901,-54.724771,-64.196165
Crystal Schwartz,57,"026 Bradley Spring Suite 288
Barnettstad, ND 60015",Port Jenniferfort,Alabama,51167,122.877366,-57.3435365
Edward Evans,33,"7425 Mark Views Apt. 264
South David, WV 76471",Arthurchester,Idaho,29917,-137.873288,-37.605014
Michelle Allen,34,"9722 Kennedy Ridge
Kaufmanmouth, WA 56160",Port Miranda,Tennessee,47998,138.090982,65.504920
Ryan Curtis,32,"942 Vargas Circle Suite 697
Mcdowellville, ND 36906",Vasquezfurt,Missouri,91639,94.799454,49.1007305
Destiny Webster,43,"69272 Wendy Point Suite 919
Jodihaven, MS 80021",Smithville,Alabama,25478,13.661764,35.3982045
David Snyder,34,"759 Yvonne Road Suite 545
West Natalieport, MI 19942",Port Paul,Oregon,69669,113.127963,-70.622419
Mary Johnson,39,"347 Karen Orchard Suite 595
South Heather, MS 83012",Halltown,Texas,41424,164.300270,31.6718135
Angela Mcintyre,33,"440 Christopher Springs
Justinshire, TX 24913",Port Juanberg,Wisconsin,22484,11.825778,-46.0823195
James Butler,25,"1930 Thompson Coves
Fosterchester, MO 82023",Jacobhaven,Oregon,16585,-142.756715,-74.947673
Craig Moore,32,"11426 Cannon Lake
Vangshire, IA 72526",Nobleport,Rhode Island,95179,86.111290,47.4792625
Lisa Walker,31,"9752 Mccoy Pike Suite 276
North Robertshire, NC 22185",Jackshire,Virginia,93350,-11.232550,4.2293925
Carl White,27,"42574 Mills Plains Suite 074
Marialand, WV 25999",South Samantha,Connecticut,03112,-2.365224,81.311191
Jennifer Chase,38,"248 Leach Junction Suite 204
South Shelby, WV 52637",Jessicastad,Pennsylvania,12778,135.996830,68.513295
Kevin Coleman,55,"99138 Burke Ford
East Danielhaven, WA 34749",Lake Dianastad,Louisiana,20929,-4.769138,18.959953
Michael Fox,32,"033 Lopez Port Apt. 440
Andreaton, ND 43293",East Cynthiaborough,Connecticut,15275,106.937897,-73.433686
Timothy Conley,42,"697 Tate Spurs Suite 200
Griffinmouth, UT 66196",Carolmouth,Oregon,17245,-20.102371,54.622774
Amanda Rice,19,"84453 Michael Prairie Apt. 751
New Danielton, TN 52875",New Kelli,Idaho,74981,76.894608,-56.9308885
Tracey Elliott,36,"10148 Anthony Throughway Suite 173
Port Joshua, RI 61063",Lake Danny,West Virginia,71273,166.998751,-34.0428145
Lisa Jones,39,"84836 John Greens
Lake Kelly, GA 88224",Reedland,Florida,10598,-60.999965,-15.7774825
Christian Arnold,49,"774 Schultz Streets Apt. 020
Robertton, WY 28318",Avilashire,West Virginia,27835,-174.971705,-13.2095435
Jose Williams,49,"84004 Michael Groves Apt. 336
Lake Kaylabury, AL 78467",North Allison,Michigan,63318,37.748636,-51.1294065
Matthew Bryan,18,"83196 Kenneth Avenue
East Maryland, MN 49184",Glenmouth,California,66858,152.863266,-41.2019355
Mr. Anthony Sanchez,20,"1251 Johnson Lane Suite 938
Suttonville, WI 07207",New Craig,Virginia,23278,-77.926760,86.717843
Haley Spencer,49,"965 Elliott Fields Suite 227
East Eric, KS 06596",Raychester,Colorado,35545,-170.011525,-43.054770
Tara Walton,26,"9914 James Plaza Apt. 108
North Susan, NC 66425",New Evelynhaven,Washington,15068,64.976357,1.778023
Angela Lewis,45,"1978 Thompson Port
West Tinabury, KS 37886",Levineberg,Missouri,47222,-100.565437,-47.6428345
Justin George,32,"18269 Johnson Courts Suite 812
Travisfort, NJ 70913",East Paulaland,New York,40953,-176.232417,65.7930025
